chr,start,end,pos_37,driver,CTCF_interactions,CTCF_chains,POLR2A_interactions,POLR2A_chains
10,87932998,87933019,89692755,1,0,0,0,0
10,116597875,116597875,118357387,0,0,0,0,0
10,8022157,8022157,8064120,0,0,0,0,0
10,3784912,3784912,3827104,1,0,0,5,3
10,133353313,133353313,135166817,0,0,0,0,0
10,8069470,8069471,8111433,1,0,0,0,0
10,100533708,100533708,102293465,0,0,0,0,0
10,22227110,22227110,22516039,0,0,0,0,0
10,46596452,46596452,46953163,0,0,0,0,0
10,42409638,42409638,42905086,0,0,0,0,0
10,109301905,109301905,111061663,0,0,0,0,0
10,94100107,94100107,95859864,0,0,0,0,0
10,62639025,62639025,64398785,0,0,0,1,1
10,63175411,63175411,64935171,0,0,0,0,0
10,102470972,102470972,104230729,0,0,0,0,0
10,80082167,80082167,81841923,0,0,0,0,0
10,118045926,118045926,119805437,0,0,0,0,0
10,42206713,42206713,42702161,0,0,0,0,0
10,56119045,56119045,57878806,0,0,0,0,0
11,47719365,47719365,47740917,0,0,0,0,0
11,22488687,22488687,22510233,0,0,0,0,0
11,119193263,119193263,119063973,0,0,0,0,0
11,75169273,75169273,74880318,0,0,0,0,0
11,6620682,6620682,6641913,0,0,0,0,0
11,4091404,4091404,4112634,0,0,0,0,0
11,62805356,62805356,62572828,0,0,0,0,0
11,64807010,64807010,64574482,1,0,0,0,0
11,131351720,131351720,131221615,0,0,0,0,0
11,63614033,63614033,63381505,0,0,0,0,0
11,57301843,57301843,57069317,0,0,0,0,0
11,64807888,64807890,64575360,1,0,0,0,0
11,21610117,21610117,21631663,0,0,0,0,0
11,64805771,64805771,64573243,1,0,0,0,0
11,64806231,64806231,64573703,1,0,0,0,0
11,47588482,47588482,47610034,0,0,0,0,0
11,108252914,108252914,108123641,1,0,0,0,0
11,108329020,108329020,108199747,1,0,0,0,0
11,619527,619527,619527,0,0,0,0,0
11,108229176,108229176,108099903,1,0,0,0,0
11,627129,627129,627129,0,0,0,0,0
11,108271147,108271147,108141874,1,0,0,0,0
11,108292618,108292618,108163345,1,0,0,0,0
11,72231497,72231497,71942541,1,0,0,0,0
11,108974595,108974595,108845322,0,0,0,0,0
11,108294925,108294925,108165652,1,0,0,0,0
11,799907,799907,799907,0,0,0,0,0
11,3357561,3357561,3378791,0,0,0,0,0
11,77843639,77843639,77554685,0,0,0,0,0
11,6613855,6613855,6635086,0,0,0,0,0
11,18358747,18358747,18380294,0,0,0,0,0
11,108287599,108287599,108158326,1,0,0,0,0
11,48163619,48163619,48185171,1,0,0,0,0
11,48155800,48155800,48177352,1,0,0,0,0
11,84715958,84715958,84427001,0,0,0,0,0
11,47578988,47578988,47600540,0,0,0,0,0
11,59591641,59591641,59359114,0,0,0,0,0
11,94462362,94462362,94195528,0,0,0,0,0
11,45924418,45924418,45945969,0,0,0,0,0
11,108319942,108319953,108190669,1,0,0,0,0
11,47237836,47237836,47259387,1,0,0,1,1
11,107657678,107657678,107528404,0,0,0,0,0
11,5706599,5706599,5727829,0,0,0,0,0
11,44171610,44171610,44193160,1,0,0,0,0
11,36859857,36859857,36881407,0,0,0,0,0
11,58227657,58227657,57995129,0,0,0,0,0
11,124904889,124904889,124774785,0,0,0,0,0
12,96089979,96089979,96483757,0,0,0,0,0
12,45849578,45849578,46243361,1,0,0,0,0
12,45837319,45837319,46231102,1,0,0,0,0
12,53593,53593,162759,0,0,0,0,0
12,45849579,45849579,46243362,1,0,0,0,0
12,14847674,14847674,15000608,0,0,0,0,0
12,55724029,55724029,56117813,0,0,0,0,0
12,6872781,6872781,6981945,0,0,0,37,20
12,45731216,45731216,46124999,1,0,0,0,0
12,9671375,9671375,9823971,0,0,0,0,0
12,6528127,6528127,6637293,0,0,0,0,0
12,57622932,57622932,58016715,0,0,0,0,0
12,110441456,110441456,110879261,0,0,0,0,0
12,6941903,6941903,7051066,0,0,0,0,0
12,45731215,45731215,46124998,1,0,0,0,0
12,122182864,122182864,122667411,0,0,0,0,0
12,57533187,57533187,57926970,0,0,0,0,0
12,101631719,101631719,102025497,0,0,0,0,0
12,6388832,6388832,6497998,0,0,0,0,0
12,92699151,92699151,93092927,0,0,0,0,0
12,6851213,6851213,6960377,0,0,0,2,1
12,114676311,114676311,115114116,1,0,0,0,0
12,45127285,45127285,45521068,0,0,0,0,0
12,67099848,67099848,67493628,0,0,0,0,0
12,48145125,48145125,48538908,0,0,0,0,0
12,57729346,57729346,58123129,0,0,0,0,0
12,57734667,57734667,58128450,0,0,0,0,0
12,55637438,55637438,56031222,0,0,0,0,0
12,53482768,53482768,53876552,0,0,0,0,0
12,7092839,7092839,7245435,0,0,0,0,0
12,101723811,101723811,102117589,0,0,0,0,0
12,49905945,49905945,50299728,0,0,0,0,0
12,5421786,5421786,5530952,0,0,0,0,0
12,50293311,50293311,50687094,0,0,0,0,0
12,98648625,98648625,99042403,1,0,0,0,0
12,65496,65496,174662,0,0,0,0,0
12,6954836,6954836,7063999,0,0,0,0,0
12,121404938,121404938,121842741,1,0,0,0,0
12,121404937,121404937,121842740,1,0,0,0,0
12,113273633,113273633,113711438,0,0,0,0,0
12,54287153,54287153,54680937,0,0,0,0,0
12,121404905,121404905,121842708,1,0,0,0,0
12,57615892,57615892,58009675,0,0,0,0,0
12,121404872,121404872,121842675,1,0,0,0,0
12,49034478,49034478,49428261,1,0,0,0,0
12,56117152,56117152,56510936,0,0,0,0,0
12,121404927,121404927,121842730,1,0,0,0,0
12,57125241,57125241,57519024,0,0,0,0,0
12,49041916,49041916,49435699,1,0,0,0,0
12,49039359,49039359,49433142,1,0,0,0,0
12,51976576,51976576,52370360,1,0,0,0,0
12,53006302,53006302,53400086,0,0,0,2,1
12,49054141,49054141,49447924,1,0,0,0,0
12,49034065,49034065,49427848,1,0,0,0,0
12,121404919,121404919,121842722,1,0,0,0,0
12,49027802,49027802,49421585,1,0,0,0,0
12,121404939,121404939,121842742,1,0,0,0,0
12,49043362,49043362,49437145,1,0,0,0,0
13,48380243,48380243,48954379,1,0,0,0,0
13,48379592,48379592,48953728,1,0,0,0,0
13,72771794,72771794,73345932,1,0,0,0,0
13,48379651,48379683,48953787,1,0,0,0,0
13,72781357,72781357,73355495,1,0,0,0,0
13,102863104,102863104,103515454,1,0,0,0,0
13,102853756,102853756,103506106,1,0,0,1,1
13,32319326,32319326,32893463,1,0,0,0,0
13,93172058,93172058,93824311,0,0,0,0,0
13,32357930,32357930,32932067,1,0,0,0,0
13,48381246,48381246,48955382,1,0,0,0,0
13,48342716,48342716,48916852,1,0,0,0,0
13,32380005,32380005,32954142,1,0,0,0,0
13,105726534,105726534,106378883,0,0,0,0,0
13,57140451,57140451,57714585,0,0,0,0,0
13,113190233,113190233,113844547,0,0,0,0,0
13,48463730,48463730,49037866,1,0,0,0,0
13,48360015,48360015,48934151,1,0,0,0,0
13,61103333,61103333,61677467,0,0,0,0,0
13,60835851,60835851,61409985,0,0,0,0,0
13,48368526,48368526,48942662,1,0,0,0,0
13,48376917,48376917,48951053,1,0,0,1,1
13,48342598,48342598,48916734,1,0,0,0,0
13,48473351,48473377,49047487,1,0,0,0,0
13,53488379,53488379,54062514,0,0,0,0,0
13,69639444,69639444,70213576,0,0,0,0,0
13,57631513,57631513,58205647,0,0,0,0,0
13,63043382,63043382,63617515,0,0,0,2,1
13,21140438,21140438,21714577,0,0,0,1,1
13,63935764,63935764,64509897,0,0,0,0,0
13,63412752,63412752,63986885,0,0,0,0,0
14,94234649,94234649,94700986,0,0,0,0,0
14,22982239,22982239,23451448,0,0,0,48,26
14,20343293,20343293,20811452,1,0,0,4,3
14,105680954,105680954,106147291,0,0,0,0,0
14,37590813,37590829,38060018,1,0,0,0,0
14,37591237,37591237,38060442,1,0,0,0,0
14,37590021,37590022,38059226,1,0,0,0,0
14,20343084,20343084,20811243,1,0,0,1,1
14,20357573,20357573,20825732,0,0,0,0,0
14,20343177,20343177,20811336,1,0,0,4,3
14,24337937,24337937,24807143,0,0,0,0,0
14,24315849,24315849,24785055,0,0,0,0,0
14,24427796,24427796,24897002,0,0,0,0,0
14,92261075,92261075,92727419,0,0,0,0,0
14,21391947,21391947,21860106,1,0,0,0,0
14,103076604,103076604,103542941,0,0,0,0,0
14,37590378,37590378,38059583,1,0,0,0,0
14,103741927,103741927,104208264,0,0,0,0,0
14,105860921,105860921,106327131,0,0,0,0,0
14,55121271,55121271,55587989,0,0,0,0,0
14,37595201,37595201,38064406,1,0,0,0,0
14,95130193,95130193,95596530,1,0,0,0,0
14,37591292,37591292,38060497,1,0,0,0,0
14,37590025,37590026,38059230,1,0,0,0,0
14,50442752,50442752,50909470,0,0,0,0,0
14,37591025,37591025,38060230,1,0,0,0,0
14,105863195,105863195,106329405,0,0,0,0,0
14,40640591,40640591,41109796,0,0,0,0,0
14,37591136,37591142,38060341,1,0,0,0,0
14,28095330,28095330,28564536,0,0,0,0,0
14,20343141,20343141,20811300,1,0,0,4,3
14,20343239,20343239,20811398,1,0,0,4,3
14,20343143,20343143,20811302,1,0,0,4,3
14,25362800,25362800,25832006,0,0,0,0,0
14,105372847,105372847,105839184,0,0,0,0,0
14,20343125,20343127,20811284,1,0,0,4,3
14,20343183,20343183,20811342,1,0,0,4,3
14,51951885,51951885,52418603,1,0,0,0,0
14,51979272,51979272,52445990,1,0,0,0,0
14,20343260,20343260,20811419,1,0,0,4,3
14,37590219,37590223,38059424,1,0,0,0,0
15,34245949,34245949,34538150,0,0,0,0,0
15,98134849,98134849,98678078,0,0,0,0,0
15,32170517,32170517,32462718,0,0,0,0,0
15,76862677,76862677,77155018,0,0,0,0,0
15,36579272,36579272,36871473,0,0,0,0,0
15,90926324,90926324,91469554,0,0,0,0,0
15,65866091,65866091,66158429,0,0,0,0,0
15,42685748,42685748,42977946,0,0,0,0,0
15,90067782,90067782,90611014,0,0,0,0,0
15,41713497,41713497,42005695,1,0,0,0,0
15,74802029,74802029,75094370,0,0,0,0,0
15,46324581,46324581,46616779,0,0,0,0,0
15,44711614,44711614,45003812,1,0,0,18,10
15,87784981,87784981,88328212,0,0,0,0,0
16,2770707,2770707,2820708,0,0,0,0,0
16,3239229,3239229,3289229,0,0,0,1,1
16,10431426,10431426,10525283,0,0,0,0,0
16,26454350,26454350,26465671,0,0,0,0,0
16,67281224,67281224,67315127,0,0,0,0,0
16,83032148,83032148,83065753,0,0,0,0,0
16,31086747,31086747,31098068,0,0,0,0,0
16,67611615,67611615,67645518,1,0,0,0,0
16,2254001,2254001,2304002,0,0,0,0,0
16,78115156,78115156,78149053,1,0,0,0,0
16,67165701,67165701,67199604,0,0,0,0,0
16,67193126,67193126,67227029,0,0,0,0,0
16,3738557,3738557,3788558,1,0,0,0,0
16,297721,297721,347721,1,0,0,0,0
16,346146,346146,396146,1,0,0,0,0
16,62784830,62784830,62818734,0,0,0,0,0
16,310070,310070,360070,1,0,0,0,0
16,67208329,67208329,67242232,0,0,0,9,7
16,2074199,2074199,2124200,1,0,0,0,0
16,19616939,19616939,19628261,0,0,0,0,0
16,30897625,30897625,30908946,0,0,0,0,0
16,22297235,22297235,22308556,1,0,0,0,0
16,681865,681865,731865,0,0,0,0,0
16,68822226,68822226,68856129,1,0,0,0,0
16,68812132,68812141,68846035,1,0,0,0,0
16,1772313,1772313,1822314,0,0,0,0,0
16,89770025,89770025,89836433,1,0,0,0,0
16,53232136,53232136,53266048,0,0,0,0,0
16,289439,289439,339439,1,0,0,0,0
16,88864371,88864371,88930779,0,0,0,0,0
16,74886327,74886327,74920225,0,0,0,0,0
16,22297372,22297372,22308693,1,0,0,0,0
16,50320679,50320679,50354590,0,0,0,0,0
16,22297261,22297261,22308582,1,0,0,0,0
16,22297617,22297617,22308938,1,0,0,0,0
16,22297357,22297357,22308678,1,0,0,0,0
16,3749626,3749626,3799627,1,0,0,0,0
16,8154698,8154698,8204700,0,0,0,0,0
16,57653802,57653802,57687714,0,0,0,0,0
16,89871599,89871599,89938007,0,0,0,0,0
16,3778698,3778698,3828699,1,0,0,0,0
16,67830680,67830680,67864583,0,0,0,0,0
16,2752694,2752694,2802695,0,0,0,0,0
16,89791457,89791457,89857865,0,0,0,0,0
16,88856873,88856873,88923281,0,0,0,0,0
16,3300278,3300278,3350278,0,0,0,0,0
16,68864170,68864170,68898073,0,0,0,0,0
16,67665032,67665032,67698935,0,0,0,0,0
16,50787853,50787853,50821764,1,0,0,0,0
16,2076067,2076067,2126068,1,0,0,0,0
16,289608,289608,339608,1,0,0,0,0
16,1778306,1778306,1828307,0,0,0,0,0
16,3767718,3767718,3817719,1,0,0,0,0
16,22297272,22297272,22308593,1,0,0,0,0
16,57755451,57755451,57789363,0,0,0,0,0
16,31459888,31459888,31471209,0,0,0,0,0
16,50350022,50350022,50383933,1,0,0,0,0
16,50328745,50328745,50362656,1,0,0,0,0
16,68022289,68022289,68056192,0,0,0,0,0
17,7314079,7314079,7217398,1,0,0,6,5
17,63830465,63830465,61907825,0,0,0,0,0
17,76629543,76629543,74625625,0,0,0,0,0
17,7687360,7687372,7590678,1,0,0,25,14
17,50862633,50862633,48939994,1,0,0,2,1
17,7687374,7687374,7590692,1,0,0,25,14
17,16027595,16027595,15930909,0,0,0,0,0
17,31336332,31336332,29663350,1,0,0,0,0
17,7687371,7687374,7590689,1,0,0,25,14
17,7673534,7673534,7576852,1,0,0,0,0
17,15738843,15738843,15642157,0,0,0,0,0
17,78160903,78160903,76156984,0,0,0,0,0
17,28746697,28746697,27073715,0,0,0,18,11
17,8173569,8173569,8076887,1,0,0,0,0
17,58529069,58529069,56606430,0,0,0,0,0
17,40119084,40119084,38275337,0,0,0,0,0
17,58362650,58362650,56440011,1,0,0,5,3
17,8173576,8173576,8076894,1,0,0,0,0
17,50862917,50862917,48940278,1,0,0,2,1
17,50862647,50862647,48940008,1,0,0,2,1
17,7674180,7674180,7577498,1,0,0,0,0
17,7674179,7674179,7577497,1,0,0,0,0
17,50862660,50862660,48940021,1,0,0,2,1
17,58363407,58363407,56440768,1,0,0,0,0
17,7687373,7687373,7590691,1,0,0,25,14
17,43216560,43216560,41368579,0,0,0,0,0
17,82657219,82657219,80615095,0,0,0,0,0
17,15688579,15688579,15591893,0,0,0,0,0
17,50862655,50862659,48940016,1,0,0,2,1
17,58331259,58331259,56408620,1,0,0,0,0
17,58331295,58331295,56408656,1,0,0,0,0
17,58331278,58331278,56408639,1,0,0,0,0
17,58331251,58331251,56408612,1,0,0,0,0
17,42582593,42582593,40734611,0,0,0,0,0
17,58331236,58331236,56408597,1,0,0,0,0
17,58331286,58331286,56408647,1,0,0,0,0
17,58331263,58331263,56408624,1,0,0,0,0
17,58331269,58331269,56408630,1,0,0,0,0
17,79077815,79077815,77073897,0,0,0,0,0
17,7252515,7252515,7155834,0,0,0,0,0
17,4397513,4397513,4300808,0,0,0,0,0
17,58331277,58331277,56408638,1,0,0,0,0
17,21335001,21335001,21238313,0,0,0,0,0
17,78827082,78827082,76823164,0,0,0,0,0
17,82052404,82052404,80010280,0,0,0,0,0
17,19648936,19648936,19552249,0,0,0,0,0
17,3446510,3446510,3349804,0,0,0,0,0
17,75558844,75558844,73554925,0,0,0,0,0
17,50862973,50862974,48940334,1,0,0,2,1
17,31214586,31214586,29541604,1,0,0,0,0
17,50862617,50862618,48939978,1,0,0,2,1
17,50862626,50862626,48939987,1,0,0,2,1
17,44212973,44212973,42290341,0,0,0,2,1
17,31358479,31358479,29685497,1,0,0,0,0
17,31261858,31261858,29588876,1,0,0,0,0
17,50540147,50540147,48617508,0,0,0,0,0
17,31181709,31181709,29508727,1,0,0,0,0
17,31343136,31343136,29670154,1,0,0,0,0
17,31230259,31230259,29557277,1,0,0,0,0
17,31265228,31265228,29592246,1,0,0,0,0
17,7687375,7687375,7590693,1,0,0,25,14
17,31330500,31330500,29657518,1,0,0,0,0
17,31338140,31338140,29665158,1,0,0,0,0
17,36430838,36430838,34799377,0,0,0,0,0
17,7676274,7676274,7579592,1,0,0,29,16
17,50862376,50862376,48939737,1,0,0,0,0
17,7673700,7673700,7577018,1,0,0,0,0
17,63833598,63833598,61910958,0,0,0,0,0
17,50862590,50862590,48939951,1,0,0,2,1
17,75897128,75897128,73893209,0,0,0,0,0
17,50862600,50862600,48939961,1,0,0,2,1
17,50862897,50862897,48940258,1,0,0,2,1
17,12081354,12081355,11984671,1,0,0,0,0
17,12081354,12081354,11984671,1,0,0,0,0
17,12125372,12125372,12028689,1,0,0,0,0
17,8173577,8173577,8076895,1,0,0,0,0
17,63834199,63834199,61911559,0,0,0,0,0
17,8173531,8173531,8076849,1,0,0,0,0
17,7565034,7565034,7468351,0,0,0,0,0
17,59210722,59210722,57288083,0,0,0,0,0
17,4545007,4545007,4448302,0,0,0,0,0
17,46067548,46067548,44144914,1,0,0,0,0
17,75630848,75630848,73626928,0,0,0,0,0
17,43063374,43063374,41215391,1,0,0,0,0
17,73236860,73236860,71232999,0,0,0,0,0
17,43071239,43071239,41223256,1,0,0,0,0
17,79065448,79065448,77061530,0,0,0,0,0
17,45395772,45395772,43473138,0,0,0,0,0
17,7447225,7447225,7350544,0,0,0,0,0
17,6644556,6644556,6547876,0,0,0,0,0
17,58331284,58331284,56408645,1,0,0,0,0
17,58331260,58331260,56408621,1,0,0,0,0
17,58331255,58331255,56408616,1,0,0,0,0
17,8174910,8174910,8078228,1,0,0,0,0
17,7673533,7673533,7576851,1,0,0,0,0
17,75784644,75784644,73780725,0,0,0,0,0
17,28758349,28758349,27085367,0,0,0,0,0
17,7675993,7675993,7579311,1,0,0,29,16
17,7675052,7675052,7578370,1,0,0,0,0
17,16065483,16065483,15968797,1,0,0,0,0
17,7673699,7673699,7577017,1,0,0,0,0
17,7670716,7670716,7574034,1,0,0,0,0
17,7674292,7674292,7577610,1,0,0,0,0
17,7670717,7670717,7574035,1,0,0,0,0
17,7673610,7673610,7576928,1,0,0,0,0
17,7687375,7687427,7590693,1,0,0,25,14
17,7687376,7687376,7590694,1,0,0,25,14
17,7674291,7674291,7577609,1,0,0,0,0
17,42027185,42027185,40179203,0,0,0,0,0
17,7675238,7675238,7578556,1,0,0,0,0
17,28662711,28662711,26989729,0,0,0,0,0
17,7676381,7676381,7579699,1,0,0,29,16
17,7687418,7687462,7590736,1,0,0,25,14
17,7674972,7674972,7578290,1,0,0,0,0
17,7674857,7674857,7578175,1,0,0,0,0
17,7687502,7687503,7590820,1,0,0,25,14
17,7687527,7687543,7590845,1,0,0,23,13
17,7673609,7673609,7576927,1,0,0,0,0
17,7687527,7687557,7590845,1,0,0,23,13
17,50862554,50862556,48939915,1,0,0,2,1
17,7673838,7673838,7577156,1,0,0,0,0
17,7673839,7673839,7577157,1,0,0,0,0
17,50862856,50862856,48940217,1,0,0,2,1
17,7674973,7674973,7578291,1,0,0,0,0
17,50862266,50862266,48939627,1,0,0,0,0
17,50862297,50862297,48939658,1,0,0,0,0
17,7674858,7674858,7578176,1,0,0,0,0
17,7675237,7675237,7578555,1,0,0,0,0
18,51067017,51067017,48593387,1,0,0,0,0
18,51067189,51067189,48593559,1,0,0,0,0
18,51048861,51048861,48575231,1,0,0,0,0
18,51059858,51059864,48586228,1,0,0,0,0
18,61917060,61917060,59584293,0,0,0,0,0
18,51059918,51059918,48586288,1,0,0,0,0
18,79110478,79110478,76870478,0,0,0,0,0
18,50966771,50966771,48493141,0,0,0,0,0
18,53322158,53322158,50848528,1,0,0,0,0
18,44239313,44239313,41819278,0,0,0,0,0
18,64935420,64935420,62602656,0,0,0,0,0
18,47848474,47848474,45374845,1,0,0,0,0
18,24446874,24446874,22026838,0,0,0,0,0
18,22993720,22993720,20573683,1,0,0,0,0
19,7590942,7590942,7655828,0,0,0,0,0
19,7083618,7083618,7083629,0,0,0,0,0
19,30067852,30067852,30558759,0,0,0,0,0
19,10294546,10294546,10405222,0,0,0,0,0
19,19515512,19515512,19626321,0,0,0,0,0
19,14409802,14409802,14520614,0,0,0,0,0
19,13963144,13963144,14073956,0,0,0,0,0
19,57754007,57754007,58265375,0,0,0,0,0
19,45352307,45352307,45855565,0,0,0,0,0
19,1797097,1797097,1797096,0,0,0,0,0
19,52420018,52420018,52923271,0,0,0,0,0
19,1223170,1223170,1223169,0,0,0,0,0
19,42368889,42368889,42873041,0,0,0,0,0
19,8365962,8365962,8430846,0,0,0,0,0
19,42293804,42293804,42797956,0,0,0,0,0
19,30009336,30009336,30500243,0,0,0,0,0
19,23717116,23717116,23899918,0,0,0,0,0
19,10833055,10833055,10943731,0,0,0,0,0
19,3299588,3299588,3299586,0,0,0,0,0
19,17334661,17334661,17445470,0,0,0,0,0
19,45473565,45473565,45976823,0,0,0,0,0
19,21718230,21718230,21901032,0,0,0,0,0
19,37262574,37262574,37753476,0,0,0,0,0
19,20047563,20047563,20158372,0,0,0,0,0
19,10995003,10995003,11105679,1,0,0,0,0
19,33212607,33212607,33703513,0,0,0,0,0
19,56423803,56423803,56935172,0,0,0,0,0
19,36888674,36888674,37379576,0,0,0,0,0
19,40801013,40801013,41306918,0,0,0,1,1
19,52808080,52808080,53311333,0,0,0,0,0
19,10759813,10759813,10870489,1,0,0,0,0
19,55645110,55645110,56156476,0,0,0,0,0
19,1222007,1222007,1222006,1,0,0,0,0
19,57591154,57591154,58102522,0,0,0,0,0
19,11025421,11025421,11136097,1,0,0,0,0
19,10795371,10795371,10906047,1,0,0,0,0
19,1221212,1221212,1221211,1,0,0,0,0
19,1220371,1220371,1220370,1,0,0,0,0
19,1221948,1221948,1221947,1,0,0,0,0
19,44780885,44780922,45284142,1,0,0,1,1
19,46693879,46693879,47197136,0,0,0,0,0
19,35267151,35267151,35758054,0,0,0,0,0
19,11213299,11213299,11323975,0,0,0,0,0
19,22758755,22758755,22941557,0,0,0,0,0
19,12580683,12580683,12691497,0,0,0,0,0
19,36252839,36252839,36743741,0,0,0,0,0
19,13148177,13148177,13258991,0,0,0,0,0
2,144520363,144520363,145277930,0,0,0,0,0
2,61537922,61537922,61765057,0,0,0,0,0
2,200481071,200481071,201345794,0,0,0,0,0
2,43960539,43960539,44187678,1,0,0,0,0
2,125184749,125184749,125942326,0,0,0,0,0
2,24820806,24820806,25043675,0,0,0,0,0
2,224478346,224478346,225343063,1,0,0,0,0
2,35493651,35493651,35718717,0,0,0,0,0
2,108444607,108444607,109061063,0,0,0,0,0
2,157958498,157958498,158815010,0,0,0,0,0
2,123981987,123981987,124739564,0,0,0,0,0
2,224500488,224500488,225365205,1,0,0,0,0
2,202518820,202518820,203383543,1,0,0,0,0
2,6053907,6053907,6194039,0,0,0,0,0
2,211562089,211562089,212426814,1,0,0,0,0
2,117829357,117829357,118586933,0,0,0,0,0
2,70963171,70963171,71190301,0,0,0,0,0
2,200267703,200267703,201132426,0,0,0,0,0
2,88864652,88864652,89164164,0,0,0,0,0
2,53177503,53177503,53404641,0,0,0,0,0
2,71613378,71613378,71840508,0,0,0,0,0
2,130142195,130142195,130899768,0,0,0,0,0
2,163610918,163610918,164467428,0,0,0,0,0
2,172085581,172085581,172950309,0,0,0,2,2
2,83381467,83381467,83608591,0,0,0,0,0
2,125050002,125050002,125807579,0,0,0,0,0
2,219212438,219212438,220077160,0,0,0,0,0
2,216529504,216529504,217394227,0,0,0,0,0
2,176610780,176610780,177475508,0,0,0,0,0
2,171435087,171435087,172291597,0,0,0,0,0
2,25229467,25229467,25452336,0,0,0,0,0
2,208058525,208058525,208923249,0,0,0,0,0
2,97909283,97909283,98525746,0,0,0,0,0
2,119381440,119381440,120139016,0,0,0,0,0
2,241797437,241797437,242736852,0,0,0,0,0
2,113182823,113182823,113940400,0,0,0,0,0
2,118683531,118683531,119441107,0,0,0,0,0
2,76376479,76376479,76603605,0,0,0,0,0
2,75662270,75662270,75889396,0,0,0,0,0
2,197453604,197453604,198318328,0,0,0,1,1
2,40429517,40429517,40656657,0,0,0,0,0
2,11154359,11154359,11294485,0,0,0,1,1
2,97765778,97765778,98382241,0,0,0,0,0
2,85700460,85700460,85927583,0,0,0,0,0
2,10782773,10782773,10922899,0,0,0,0,0
2,151094342,151094342,151950856,0,0,0,0,0
2,2626210,2626210,2629982,0,0,0,0,0
